Id;nom_source;nom_ldd;id_origin;auteur_in;annee_init;date_obs;confidenti;typo_ppale;typo_secon;fonction;commentair;financemen;cd_insee;commune;X_L93;Y_L93;maj_date;maj_auteur;maj_commen;prefixe;x;y
234;Commission Reptiles Amphibiens;Base CRA (18-mars-2013);1211;;2000;24/10/2000;;Forêt/Boisement;;Non renseigné;;;88511;Villouxel;892572;6808113;;;;;5.60114135;48.34483704
689;Commission Reptiles Amphibiens;Base CRA (18-mars-2013);5002;;2007;02/04/2007;;Forêt/Boisement;;Non renseigné;;;88344;Pargny-sous-Mureau;893055;6808737;;;;;5.60627469;48.35026537
692;Commission Reptiles Amphibiens;Base CRA (18-mars-2013);5010;;2007;10/04/2007;;Prairie;;Non renseigné;;;88344;Pargny-sous-Mureau;892429;6809550;;;;;5.59819601;48.35775955
688;Commission Reptiles Amphibiens;Base CRA (18-mars-2013);4997;;2007;27/03/2007;;Prairie;;Non renseigné;;;88303;Midrevaux;891331;6813248;;;;;5.58500861;48.39133605
1200;Commission Reptiles Amphibiens;Base CRA (18-mars-2013);8998;;2005;08/06/2005;;Marais;;Non renseigné;;;55015;Aulnois-en-Perthois;857204;6838780;;;;;5.13349863;48.63009273
142;Commission Reptiles Amphibiens;Base CRA (18-mars-2013);331;;1998;31/03/1998;;Prairie;;Non renseigné;;;55186;Fains-Véel;855130;6855438;;;;;5.11140816;48.78036238
1449;Commission Reptiles Amphibiens;Tableau - CSL - A-S GOBIN - Stage - 2009 - Base CRA (18-mars-2013);10476;GOBIN Anne Sophie;2009;16/06/2009;;Forêt/Boisement;;Non renseigné;;;55430;Ribeaucourt;871390;6829392;;;;;5.32216340;48.54207250
892;Commission Reptiles Amphibiens;Base CRA (18-mars-2013);6027;;2007;11/04/2007;;Jardin/Urbain/Milieu anthropisé;;Non renseigné;;;55114;Chonville-Malaumont;883385;6856599;;;;;5.49624205;48.78339367
637;Commission Reptiles Amphibiens;Base CRA (18-mars-2013);4603;;2006;02/05/2006;;Prairie;;Non renseigné;;;55532;Vaubecourt;853292;6873887;;;;;5.09307051;48.94693293
1434;Commission Reptiles Amphibiens;Tableau - CSL - A-S GOBIN - Stage - 2009 - Base CRA (18-mars-2013);10420;GOBIN Anne Sophie;2009;02/06/2009;;Forêt/Boisement;;Non renseigné;;;55532;Vaubecourt;851458;6872636;;;;;5.06757441;48.93585515
1439;Commission Reptiles Amphibiens;Tableau - CSL - A-S GOBIN - Stage - 2009 - Base CRA (18-mars-2013);10452;GOBIN Anne Sophie;2009;03/04/2009;;Forêt/Boisement;;Non renseigné;;;55106;Chattancourt;863409;6905160;;;;;5.24325625;49.22524148
1440;Commission Reptiles Amphibiens;Tableau - CSL - A-S GOBIN - Stage - 2009 - Base CRA (18-mars-2013);10453;GOBIN Anne Sophie;2009;03/04/2009;;Forêt/Boisement;;Non renseigné;;;55106;Chattancourt;863542;6905204;;;;;5.24508859;49.22560218
1448;Commission Reptiles Amphibiens;Tableau - CSL - A-S GOBIN - Stage - 2009 - Base CRA (18-mars-2013);10471;GOBIN Anne Sophie;2009;19/05/2009;;Forêt/Boisement;;Non renseigné;;;55498;Souilly;869921;6883706;;;;;5.32393591;49.03074371
137;Commission Reptiles Amphibiens;Base CRA (18-mars-2013);218;;1994;10/05/1994;;Forêt/Boisement;;Non renseigné;;;55111;Chauvoncourt;880742;6868508;;;;;5.46534699;48.89118407
1450;Commission Reptiles Amphibiens;Tableau - CSL - A-S GOBIN - Stage - 2009 - Base CRA (18-mars-2013);10477;GOBIN Anne Sophie;2009;18/05/2009;;Forêt/Boisement;;Non renseigné;;;55482;Senoncourt-les-Maujouy;872151;6886377;;;;;5.35550026;49.05414964
1451;Commission Reptiles Amphibiens;Tableau - CSL - A-S GOBIN - Stage - 2009 - Base CRA (18-mars-2013);10481;GOBIN Anne Sophie;2009;18/05/2009;;Forêt/Boisement;;Non renseigné;;;55482;Senoncourt-les-Maujouy;873082;6887275;;;;;5.36860269;49.06197448
323;Commission Reptiles Amphibiens;Base CRA (18-mars-2013);1983;;2002;16/05/2002;;Forêt/Boisement;;Non renseigné;;;55043;Belleville-sur-Meuse;874688;6900416;;;;;5.39602401;49.17970231
130;Commission Reptiles Amphibiens;Base CRA (18-mars-2013);167;;2003;12/04/2003;;Prairie;;Non renseigné;;;55073;Bras-sur-Meuse;875185;6902416;;;;;5.40366702;49.19747304
940;Commission Reptiles Amphibiens;Base CRA (18-mars-2013);6348;;2008;01/04/2008;;Forêt/Boisement;;Non renseigné;;;55073;Bras-sur-Meuse;873860;6904709;;;;;5.38645561;49.21844008
1206;Commission Reptiles Amphibiens;Base CRA (18-mars-2013);9099;;2009;07/03/2009;;Forêt/Boisement;;Non renseigné;;;55073;Bras-sur-Meuse;873343;6905037;;;;;5.37948639;49.22152078
306;Commission Reptiles Amphibiens;Base CRA (18-mars-2013);1823;;2001;25/03/2001;;Prairie;;Non renseigné;;;55189;Fleury-devant-Douaumont;876847;6903437;;;;;5.42688432;49.20619178
307;Commission Reptiles Amphibiens;Base CRA (18-mars-2013);1824;;2000;20/05/2000;;Prairie;;Non renseigné;;;55189;Fleury-devant-Douaumont;875731;6902668;;;;;5.41125774;49.19958074
308;Commission Reptiles Amphibiens;Base CRA (18-mars-2013);1825;;2003;16/03/2003;;Forêt/Boisement;;Non renseigné;;;55189;Fleury-devant-Douaumont;877703;6901861;;;;;5.43795613;49.19178922
1436;Commission Reptiles Amphibiens;Tableau - CSL - A-S GOBIN - Stage - 2009 - Base CRA (18-mars-2013);10446;GOBIN Anne Sophie;2009;01/04/2009;;Forêt/Boisement;;Non renseigné;;;55048;Béthincourt;862537;6907766;;;;;5.23230170;49.24888196
1437;Commission Reptiles Amphibiens;Tableau - CSL - A-S GOBIN - Stage - 2009 - Base CRA (18-mars-2013);10447;GOBIN Anne Sophie;2009;01/04/2009;;Forêt/Boisement;;Non renseigné;;;55048;Béthincourt;862856;6908027;;;;;5.23678208;49.25114711
1443;Commission Reptiles Amphibiens;Tableau - CSL - A-S GOBIN - Stage - 2009 - Base CRA (18-mars-2013);10456;GOBIN Anne Sophie;2009;01/04/2009;;Forêt/Boisement;;Non renseigné;;;55048;Béthincourt;863763;6908125;;;;;5.24926291;49.25179812
304;Commission Reptiles Amphibiens;Base CRA (18-mars-2013);1804;;2003;15/03/2003;;Forêt/Boisement;;Non renseigné;;;55139;Cumières-le-Mort-Homme;866406;6906066;;;;;5.28472314;49.23260910
449;Commission Reptiles Amphibiens;Base CRA (18-mars-2013);3130;;2004;19/04/2004;;Forêt/Boisement;;Non renseigné;;;55139;Cumières-le-Mort-Homme;866122;6906016;;;;;5.28081601;49.23223790
942;Commission Reptiles Amphibiens;Base CRA (18-mars-2013);6369;;2008;01/04/2008;;Forêt/Boisement;;Non renseigné;;;55139;Cumières-le-Mort-Homme;863568;6906116;;;;;5.24581237;49.23379268
1204;Commission Reptiles Amphibiens;Base CRA (18-mars-2013);9044;;2007;14/04/2007;;Forêt/Boisement;;Non renseigné;;;55139;Cumières-le-Mort-Homme;866251;6906167;;;;;5.28264874;49.23355946
1438;Commission Reptiles Amphibiens;Tableau - CSL - A-S GOBIN - Stage - 2009 - Base CRA (18-mars-2013);10451;GOBIN Anne Sophie;2009;02/04/2009;;Forêt/Boisement;;Non renseigné;;;55139;Cumières-le-Mort-Homme;863366;6905766;;;;;5.24289157;49.23069930
1441;Commission Reptiles Amphibiens;Tableau - CSL - A-S GOBIN - Stage - 2009 - Base CRA (18-mars-2013);10454;GOBIN Anne Sophie;2009;02/04/2009;;Forêt/Boisement;;Non renseigné;;;55139;Cumières-le-Mort-Homme;863615;6905434;;;;;5.24618006;49.22765218
1442;Commission Reptiles Amphibiens;Tableau - CSL - A-S GOBIN - Stage - 2009 - Base CRA (18-mars-2013);10455;GOBIN Anne Sophie;2009;02/04/2009;;Forêt/Boisement;;Non renseigné;;;55139;Cumières-le-Mort-Homme;863648;6906026;;;;;5.24686421;49.23296726
1444;Commission Reptiles Amphibiens;Tableau - CSL - A-S GOBIN - Stage - 2009 - Base CRA (18-mars-2013);10462;GOBIN Anne Sophie;2009;02/04/2009;;Forêt/Boisement;;Non renseigné;;;55139;Cumières-le-Mort-Homme;865798;6906248;;;;;5.27646443;49.23440310
1445;Commission Reptiles Amphibiens;Tableau - CSL - A-S GOBIN - Stage - 2009 - Base CRA (18-mars-2013);10464;GOBIN Anne Sophie;2009;03/04/2009;;Forêt/Boisement;;Non renseigné;;;55139;Cumières-le-Mort-Homme;866033;6906259;;;;;5.27969225;49.23444103
287;Commission Reptiles Amphibiens;Base CRA (18-mars-2013);1677;;2011;06/04/2011;;Prairie;;Non renseigné;;;55078;Brieulles-sur-Meuse;858552;6918042;;;;;5.18174826;49.34263010
1201;Commission Reptiles Amphibiens;Base CRA (18-mars-2013);9029;;2007;15/04/2007;;Prairie;;Non renseigné;;;55571;Vilosnes-Haraumont;863550;6916934;;;;;5.25188497;49.33071127
288;Commission Reptiles Amphibiens;Base CRA (18-mars-2013);1679;;2011;05/04/2011;;Prairie;;Non renseigné;;;55225;Halles-sous-les-Côtes;853764;6929703;;;;;5.11991148;49.44801856
184;Commission Reptiles Amphibiens;Base CRA (18-mars-2013);700;;2000;12/03/2000;;Prairie;;Non renseigné;;;55338;Milly-sur-Bradon;859758;6924575;;;;;5.20058954;49.40062670
247;Commission Reptiles Amphibiens;Base CRA (18-mars-2013);1251;;1996;28/07/1996;;Carrière/Gravière;;Non renseigné;;;55338;Milly-sur-Bradon;860310;6923742;03/04/2017;BRACH Mallaurie;Recalage Orthophotographie 2014;;5.20817045;49.39316596
174;Commission Reptiles Amphibiens;Base CRA (18-mars-2013);623;;1996;08/05/1996;;Prairie;;Non renseigné;;;55293;Lion-devant-Dun;863316;6927640;;;;;5.25066907;49.42718571
